score_id,player_id,game,score,duration_minutes,played_at,platform
SCR001,1,SpaceInvaders,15200,45,2024-01-15 14:30:00,PC
SCR002,1,TetrisUltra,8900,32,2024-01-16 20:15:00,PC
SCR003,2,SpaceInvaders,12400,38,2024-01-15 16:00:00,Console
SCR004,3,MarioKart,9800,25,2024-01-17 10:30:00,Console
SCR005,4,TetrisUltra,6700,28,2024-01-18 19:45:00,Mobile
SCR006,5,SpaceInvaders,18500,52,2024-01-15 21:00:00,PC
SCR007,2,MarioKart,11200,30,2024-01-19 15:20:00,Console
SCR008,6,TetrisUltra,7300,35,2024-01-20 11:00:00,Mobile
SCR009,7,SpaceInvaders,16800,48,2024-01-21 09:30:00,PC
SCR010,8,MarioKart,5400,20,2024-01-22 17:00:00,Console
SCR011,1,SpaceInvaders,-500,15,2024-01-23 14:00:00,PC
SCR012,9,TetrisUltra,9200,40,2024-01-24 22:00:00,PC
SCR013,3,SpaceInvaders,21000,55,2024-01-25 13:45:00,PC
SCR014,10,MarioKart,7600,27,2024-01-26 18:30:00,Console
SCR015,2,TetrisUltra,,42,2024-01-27 20:00:00,Mobile
SCR016,11,SpaceInvaders,14300,41,2024-01-28 15:15:00,PC
SCR017,5,MarioKart,10100,33,2024-01-29 11:30:00,Console
SCR018,12,SpaceInvaders,17600,50,2024-01-30 19:00:00,PC
SCR019,4,SpaceInvaders,8200,36,2024-02-01 14:45:00,Mobile
SCR020,13,TetrisUltra,6100,29,2024-02-02 21:15:00,PC
SCR021,6,MarioKart,8800,26,date_invalide,Console
SCR022,14,SpaceInvaders,19400,53,2024-02-04 10:00:00,PC
SCR023,7,TetrisUltra,7800,37,2024-02-05 16:30:00,PC
SCR024,1,SpaceInvaders,15200,45,2024-01-15 14:30:00,PC
SCR025,15,MarioKart,9500,31,2024-02-07 12:00:00,Console
SCR026,16,SpaceInvaders,13700,43,2024-02-08 18:45:00,PC
SCR027,3,TetrisUltra,10800,44,2024-02-09 20:30:00,Console
SCR028,17,MarioKart,6900,24,2024-02-10 14:00:00,Console
SCR029,8,SpaceInvaders,11500,39,2024-02-11 17:30:00,Mobile
SCR030,18,TetrisUltra,5800,27,2024-02-12 21:00:00,PC
SCR031,19,SpaceInvaders,20200,54,2024-02-13 13:00:00,PC
SCR032,20,MarioKart,7200,28,2024-02-14 15:45:00,Console
SCR033,5,TetrisUltra,9600,41,2024-02-15 19:15:00,PC
SCR034,21,SpaceInvaders,10900,37,2024-02-16 11:00:00,Mobile
SCR035,22,MarioKart,,22,2024-02-17 16:00:00,Console
SCR036,23,SpaceInvaders,22500,58,2024-02-18 20:00:00,PC
SCR037,24,TetrisUltra,8100,34,2024-02-19 14:30:00,PC
SCR038,25,MarioKart,9900,30,2024-02-20 18:00:00,Console
SCR039,9,SpaceInvaders,16200,47,2024-02-21 21:30:00,PC
SCR040,99,TetrisUltra,7400,33,2024-02-22 10:45:00,Mobile
